seed,engaged_cells,total_cells,raw_t_to_delta_w_engaged,clipped_t_to_delta_w_engaged,g_td_to_delta_w_engaged,neg_g_inh_to_delta_w_engaged,net_topdown_peak_envelope_to_delta_w_engaged,latency_advance_to_delta_w_engaged,created_spike_frequency_to_delta_w_engaged,d_residual_to_delta_w_engaged
3100,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3101,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3102,4,32,0.7483721405059527,0.7620769498027841,0.8136178775147209,-0.9865487444713731,-0.9874907010955143,0.0,0.0,0.8115122720950616
3103,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3105,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3106,3,32,0.9025031814204544,0.9013188712266141,0.855559707153335,-0.8142675681084435,-0.7996900160000011,0.0,0.0,0.8171347607977671
3107,3,32,-0.7396217428664063,-0.6612864122605384,-0.6638728083569034,-0.9878469407680331,-0.8891373683227618,-0.8144299081426211,-0.8144299081426212,-0.40733221261657
3108,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3109,3,32,-0.8884088422986771,-0.8848423728036833,-0.8894487254110924,-0.9022670135422721,-0.8993397413375537,-0.8924108068684934,-0.8924108068684934,0.760659350906394
3110,3,32,0.17463692857463234,0.18034661724555107,0.2044940512678474,-0.5931813985977091,-0.0019436361441444421,0.0,0.08828052217457452,-0.8774322103545935
3111,3,32,-0.4934676661887984,-0.501875781027899,-0.48916984413023085,0.9680570188174789,-0.15882301623841574,-0.3736967826505407,-0.3736967826505407,-0.6164342712396541
